mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.13165948390960694,0.007932097594201663,0.00525815486907959,0.0010318486945371074,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",1.0,0.96,0.8461538461538461,0.9565217391304348,0.9523809523809523,0.9565217391304348,0.96,0.9166666666666666,0.9166666666666666,0.96,0.9424911610129001,0.03915757188377571,1
0.1719393253326416,0.011023139481771959,0.009255170822143555,0.0010329690571833183,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.96,0.96,0.8461538461538461,0.9565217391304348,0.9523809523809523,0.9090909090909091,1.0,0.9565217391304348,0.9166666666666666,0.96,0.9417335852553244,0.03971912318803095,2
0.11457481384277343,0.008150346485372863,0.006401348114013672,0.00029798514695109643,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1.0,0.96,0.8461538461538461,0.9565217391304348,0.9523809523809523,0.9565217391304348,0.96,0.88,0.88,0.96,0.9351578276795667,0.04612142449399841,3
0.08164095878601074,0.006611698023020174,0.0062068462371826175,0.0009111683372398212,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,1.0,0.96,0.8888888888888888,0.9343650793650795,0.0648048118833399,4
0.14377248287200928,0.013608562311927431,0.00901045799255371,0.0010007779405263818,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,1.0,0.96,0.8888888888888888,0.9343650793650795,0.0648048118833399,4
0.15323057174682617,0.01706883777510149,0.009553980827331544,0.0016300681497995618,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,1.0,0.96,0.8888888888888888,0.9343650793650795,0.0648048118833399,4
0.14767131805419922,0.00646680672590978,0.009755659103393554,0.0009367572153217349,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,1.0,0.96,0.8888888888888888,0.9343650793650795,0.0648048118833399,4
0.10495781898498535,0.008119883184089564,0.005959653854370117,0.0009114520334409848,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,0.9166666666666666,0.96,0.9230769230769231,0.9294505494505494,0.05984959479143757,8
0.09914381504058838,0.009469483013239292,0.005897426605224609,0.0006231443483515887,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,0.9166666666666666,0.96,0.9230769230769231,0.9294505494505494,0.05984959479143757,8
0.060515856742858885,0.007105741548213998,0.004847598075866699,0.0005041010718861374,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.96,0.8148148148148148,0.9565217391304348,0.9523809523809523,0.9166666666666666,0.96,0.88,0.88,0.96,0.9280384172992868,0.052164390414330644,10
0.07220234870910644,0.007847206690695253,0.0057089805603027345,0.0005067483538163772,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,0.96,0.7857142857142857,0.88,0.9523809523809523,0.9166666666666666,1.0,0.9166666666666666,0.96,0.8888888888888888,0.926031746031746,0.06107985182791236,11
0.47792251110076905,0.02145647975365131,0.02205944061279297,0.001122984718633464,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.96,0.8695652173913043,0.8333333333333334,0.9565217391304348,0.9523809523809523,0.9090909090909091,0.9565217391304348,0.9565217391304348,0.9166666666666666,0.9166666666666666,0.9227268962921136,0.040953250939498316,12
0.1221555233001709,0.004809506137091542,0.007846808433532715,0.0006340203053423706,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9629629629629629,0.96,0.8461538461538461,0.9565217391304348,0.9523809523809523,0.88,0.96,0.88,0.8461538461538461,0.96,0.9204173346782042,0.04809672222321318,13
0.05921785831451416,0.007766300519099679,0.006850576400756836,0.0016426818781110643,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.9629629629629629,0.96,0.8275862068965517,0.9230769230769231,0.9523809523809523,0.9230769230769231,0.96,0.88,0.8888888888888888,0.8888888888888888,0.9166861746172092,0.04252008279992348,14
0.06005890369415283,0.011531576525288566,0.005153393745422364,0.0005043224133356807,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9629629629629629,0.96,0.8275862068965517,0.9230769230769231,0.9523809523809523,0.9230769230769231,0.96,0.88,0.8888888888888888,0.8888888888888888,0.9166861746172092,0.04252008279992348,14
0.04959571361541748,0.006194801505624056,0.005354857444763184,0.0016403620821546859,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.9629629629629629,0.96,0.8275862068965517,0.9230769230769231,0.9523809523809523,0.9230769230769231,0.96,0.88,0.8461538461538461,0.8888888888888888,0.912412670343705,0.0470096439998951,16
0.05102348327636719,0.005605057539969955,0.004805469512939453,0.0008242414914822799,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.9629629629629629,0.96,0.7857142857142857,0.88,0.9523809523809523,0.88,0.96,0.88,0.88,0.9230769230769231,0.9064135124135124,0.05356354761507345,17
0.15532612800598145,0.007266276707330274,0.009354400634765624,0.0008091909701341561,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.65,0.6666666666666666,0.5365853658536586,0.5641025641025641,0.625,0.6470588235294118,0.6857142857142857,0.7058823529411765,0.6857142857142857,0.631578947368421,0.639830329189047,0.05111912356793776,18
0.41784489154815674,0.023344854120856535,0.01964430809020996,0.0010718907254912745,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.5777777777777777,0.6,0.5,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.6486486486486487,0.6486486486486487,0.631578947368421,0.6153846153846154,0.5880351085614244,0.0482214162253038,19
0.39923887252807616,0.035438930764746704,0.017802953720092773,0.0015627295512422525,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.5777777777777777,0.6,0.5,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.6486486486486487,0.6486486486486487,0.631578947368421,0.6153846153846154,0.5880351085614244,0.0482214162253038,19
0.241896653175354,0.012325719961858344,0.012809491157531739,0.0013271533165416325,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.5777777777777777,0.6,0.5,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.6486486486486487,0.6486486486486487,0.631578947368421,0.6153846153846154,0.5880351085614244,0.0482214162253038,19
0.23759021759033203,0.006688994035536973,0.012299466133117675,0.0008753977995310606,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5777777777777777,0.6,0.5,0.5238095238095238,0.5555555555555556,0.5789473684210527,0.6486486486486487,0.6486486486486487,0.631578947368421,0.6153846153846154,0.5880351085614244,0.0482214162253038,19
0.49636385440826414,0.016805358258980798,0.026514554023742677,0.0021421452377033035,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.49056603773584906,0.5714285714285714,0.5,0.4782608695652174,0.46808510638297873,0.5365853658536586,0.5217391304347826,0.5454545454545454,0.5454545454545454,0.6153846153846154,0.5272958787694764,0.04299820969309715,23
0.5536005973815918,0.08089172243528567,0.02798898220062256,0.0036228425624234865,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.7272727272727273,0.4067796610169492,0.3728813559322034,0.3548387096774194,0.3548387096774194,0.38596491228070173,0.3870967741935484,0.42857142857142855,0.43636363636363634,0.4406779661016949,0.42952858810877287,0.10363655061618227,24
0.5815358877182006,0.0950839727965971,0.02726716995239258,0.00418219679700516,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.0,0.2033898305084746,0.2033898305084746,0.2033898305084746,0.18803418803418803,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.22033898305084745,0.18390554831232797,0.06173022593531639,25
