instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6112204790115356,0.3142158389091491,0.5923567215601603,0.5077355106671652,0.5856245458126068,0.5759870409965515,0,1,0.0,0.2617712020874023
2,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6059612333774567,0.3424174785614013,0.5966530442237854,0.4739350378513336,0.5892325341701508,0.55910924077034,0,1,0.0,0.2166917622089386
3,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5994403064250946,0.359215572476387,0.5950330098470052,0.4780753254890442,0.594959944486618,0.568317323923111,0,1,0.0,0.2091017514467239
4,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6047332286834717,0.3588662445545196,0.5995302200317383,0.4558674991130829,0.5956472456455231,0.5540235936641693,0,1,0.0,0.1951573491096496
5,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6074051856994629,0.3633467108011246,0.5939969221750895,0.4913312097390492,0.5967095494270325,0.5447193682193756,0,1,0.0,0.181372657418251
6,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5800971388816833,0.5176243185997009,0.5712242921193441,0.5991709033648173,0.5711989998817444,0.6324242651462555,0,1,0.0,0.1147999465465545
7,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5752939283847809,0.5131301283836365,0.5687594215075175,0.5856633385022482,0.5707676410675049,0.6422736644744873,0,1,0.0,0.1291435360908508
8,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5826161801815033,0.5076070129871368,0.5678165952364603,0.577426016330719,0.563836395740509,0.6543020009994507,0,1,0.0,0.1466949880123138
9,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5800564885139465,0.5113493800163269,0.5717853109041849,0.5661991834640503,0.5630371868610382,0.6518748104572296,0,1,0.0,0.1405254304409027
10,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5811365842819214,0.5114430785179138,0.5693127910296122,0.6011021534601847,0.5682235360145569,0.6338360011577606,0,1,0.0,0.1223929226398468
11,rotate_down,1,0,0,0,0,1,1,0,0,0,0.3199791461229324,0.4624173939228058,0.3108762701352437,0.5606380701065063,0.3101502805948257,0.6028077304363251,0,1,0.0,0.1403903365135193
12,rotate_down,1,0,0,0,0,1,1,0,0,0,0.3253873437643051,0.4581134915351867,0.3180197179317474,0.5119789938131968,0.3119739145040512,0.5908211469650269,0,1,0.0,0.1327076554298401
13,rotate_down,1,0,0,0,0,1,1,0,0,0,0.3264764845371246,0.4583634585142135,0.3192051947116852,0.5205972592035929,0.3153618723154068,0.5920438766479492,0,1,0.0,0.1336804181337356
14,rotate_down,0,0,0,0,0,1,1,0,0,0,0.32511967420578,0.4404986053705215,0.3079376916090647,0.5452404419581095,0.300501674413681,0.6016687154769897,0,1,0.0,0.1611701101064682
15,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3155860155820846,0.4426499158143997,0.3027361730734507,0.5049285590648651,0.2783964425325393,0.6061479449272156,0,1,0.0,0.1634980291128158
16,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8908926248550415,0.4354504644870758,0.871641218662262,0.5364624261856079,0.8604283928871155,0.6002204418182373,0,1,0.0,0.1647699773311615
17,rotate_down,1,0,0,0,0,1,1,0,0,0,0.8798699975013733,0.4193243384361267,0.8780637383460999,0.5109646717707316,0.8605023622512817,0.5939459502696991,0,1,0.0,0.1746216118335724
18,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8515885472297668,0.4104603976011276,0.8425180117289225,0.5214592615763346,0.83571657538414,0.5908048450946808,0,1,0.0,0.1803444474935531
19,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8513851761817932,0.4037653356790542,0.8444015582402548,0.5000529785950979,0.8364513516426086,0.5851087272167206,0,1,0.0,0.1813433915376663
20,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8485991954803467,0.3900652527809143,0.829329232374827,0.53936767578125,0.8266260325908661,0.5863637924194336,0,1,0.0,0.1962985396385193
21,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6452725231647491,0.3410727679729461,0.6302816073099772,0.4629790584246318,0.6044821739196777,0.569004625082016,0,1,0.0,0.2279318571090698
22,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6400144994258881,0.3113299459218979,0.6276041467984518,0.4580414891242981,0.6121867001056671,0.5807845294475555,0,1,0.0,0.2694545835256576
23,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6314835548400879,0.3259675204753876,0.6129835446675619,0.4650407135486603,0.6037532091140747,0.537330687046051,0,1,0.0,0.2113631665706634
24,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6355356872081757,0.3282356411218643,0.6175522406895956,0.4684827923774719,0.5981187522411346,0.5718842148780823,0,1,0.0,0.2436485737562179
25,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6299901902675629,0.3268288224935531,0.6096577644348145,0.4832541048526764,0.5972835123538971,0.5861501395702362,0,1,0.0,0.259321317076683
26,rotate_down,1,0,0,0,0,1,1,0,0,0,0.6206807792186737,0.5046336948871613,0.6223135789235433,0.5932873090108236,0.6223938763141632,0.7137986719608307,0,1,0.0,0.2091649770736694
27,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6268112063407898,0.3865449577569961,0.6289054155349731,0.427324116230011,0.615469753742218,0.6793905794620514,0,1,0.0,0.2928456217050552
28,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6239805519580841,0.3722651302814483,0.6202168663342794,0.4096655547618866,0.6164199411869049,0.6992504000663757,0,1,0.0,0.3269852697849273
29,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6230436265468597,0.358715683221817,0.6270739237467448,0.4899102946122487,0.6211665272712708,0.7144860625267029,0,1,0.0,0.3557703793048858
30,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6174010336399078,0.3407329022884369,0.6229650179545084,0.3835759262243907,0.6122227609157562,0.6715176701545715,0,1,0.0,0.3307847678661346
31,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5577244460582733,0.5879853069782257,0.555710236231486,0.582072893778483,0.5525175631046295,0.572575718164444,0,1,0.0,-0.0154095888137817
32,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5422807931900024,0.7301994860172272,0.5410391887029012,0.7252288659413656,0.5413942337036133,0.7223923802375793,0,1,0.0,-0.0078071057796478
33,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5699241459369659,0.5555963814258575,0.5692987243334452,0.6505228281021118,0.5654040277004242,0.7034282088279724,0,1,0.0,0.1478318274021148
34,rotate_down,0,0,0,0,0,1,1,0,0,0,0.560126930475235,0.5012374818325043,0.5622854431470236,0.558108409245809,0.5571936964988708,0.63930743932724,0,1,0.0,0.1380699574947357
35,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5590938925743103,0.5447980761528015,0.559751053651174,0.6324455936749777,0.5576314926147461,0.6483378410339355,0,1,0.0,0.103539764881134
36,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5558714866638184,0.4959622770547867,0.5550631284713745,0.4964520533879598,0.5538938641548157,0.495336964726448,1,0,-0.0019776225090026,0.0
37,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3541516065597534,0.5475843846797943,0.3585106134414673,0.5792986353238424,0.3576996326446533,0.6764799356460571,0,1,0.0,0.1288955509662628
