instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_down,0,0,0,0,0,1,1,0,0,0,0.624055,0.451542,0.615109,0.521483,0.605445,0.623617,0,1,-0.002614,0.185558
2,rotate_left,0,0,0,0,0,1,1,0,0,0,0.700592,0.521203,0.609221,0.515263,0.530381,0.504322,1,0,-0.130413,-0.005325
3,zoom_in,0,0,0,0,0,1,1,1,0,0,0.579149,0.588623,0.594609,0.479239,0.593111,0.427196,0,1,0.0,-0.168766
4,rotate_right,0,0,0,0,0,1,1,0,0,0,0.519356,0.513941,0.59543,0.5103,0.650029,0.523184,1,0,0.117388,0.04424
5,zoom_out,0,0,0,0,0,1,1,1,0,0,0.586247,0.461246,0.583464,0.54286,0.574318,0.653507,0,1,-0.062817,0.191093
6,home,0,0,0,0,0,1,0,0,0,0,0.589237,0.487445,0.588898,0.486901,0.588259,0.487556,1,0,-0.002603,0.002198
7,rotate_up,0,0,0,0,0,1,1,0,0,0,0.609287,0.579126,0.61273,0.484454,0.611311,0.393994,0,1,-0.093339,-0.186964
8,previous_slide,0,0,0,0,0,0,1,0,0,0,0.1318913449843724,0.8020469943682352,0.2889442145824432,0.802725076675415,0.4310895403226216,0.8703239560127258,1,0,-0.2991981953382492,0.0682769616444906
9,next_slide,0,0,0,0,0,0,1,0,0,0,0.4673537214597066,0.9745663404464722,0.3179317613442738,0.908444881439209,0.2398317803939183,0.951965351899465,1,0,0.2275219410657882,-0.0226009885470072
10,end,0,0,0,0,0,0,0,0,0,1,0.616981,0.431811,0.615352,0.429471,0.614736,0.430074,1,0,-0.002566,-0.002014
