mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
2.040667724609375,0.26516726144120223,0.07128627300262451,0.006674885561442668,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.9032258064516129,1.0,0.8387096774193549,0.9714285714285714,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9090909090909091,0.9501242843178327,0.048226368793161764,1
0.7887358903884888,0.09932547021954001,0.02085111141204834,0.0019463691767660303,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,0.8,0.9714285714285714,1.0,1.0,1.0,1.0,0.9696969696969697,0.6521739130434783,0.939329945416902,0.1122091937910987,2
0.6961088895797729,0.08766989688403629,0.020747828483581542,0.002176688337841882,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.23776223776223776,1.0,0.9142857142857143,0.9714285714285714,1.0,1.0,1.0,1.0,0.9696969696969697,0.8571428571428571,0.8950316350316351,0.22367667110293096,3
0.7889103174209595,0.08541924749027548,0.030008101463317872,0.0037039005791582058,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.25,1.0,0.9090909090909091,0.9714285714285714,0.9696969696969697,1.0,0.9696969696969697,1.0,0.9696969696969697,0.9090909090909091,0.8948701298701298,0.21727337092976962,4
0.814229416847229,0.16034259708695922,0.030019164085388184,0.012656016654170266,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.23776223776223776,1.0,0.9090909090909091,0.9714285714285714,0.9696969696969697,1.0,0.9696969696969697,1.0,0.9696969696969697,0.9090909090909091,0.8936463536463537,0.22090620143879003,5
0.35656113624572755,0.08362804986485235,0.014199185371398925,0.0020577115720274244,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.23776223776223776,1.0,0.9411764705882353,0.9714285714285714,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9411764705882353,0.8571428571428571,0.889154375036728,0.220888306283584,6
0.6930811166763305,0.13096862060560543,0.025618743896484376,0.0020992634278464524,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.2956521739130435,1.0,0.8387096774193549,0.9714285714285714,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9411764705882353,0.8823529411764706,0.8838410743616585,0.2020058548029209,7
0.3333498239517212,0.058669823344081815,0.010199284553527832,0.0021513893660614833,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.25757575757575757,0.9714285714285714,0.9090909090909091,0.9714285714285714,1.0,1.0,1.0,1.0,0.9411764705882353,0.7727272727272727,0.8823427552839318,0.218579893732938,8
0.4378432035446167,0.06610111377090287,0.01878359317779541,0.005125295306180529,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.288135593220339,1.0,0.875,0.9714285714285714,1.0,1.0,1.0,0.9696969696969697,0.9411764705882353,0.7727272727272727,0.8818164877661389,0.20965452734225545,9
0.3872807264328003,0.0629422016091744,0.017831921577453613,0.0029521821305006665,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.2677165354330709,0.9714285714285714,0.875,0.9714285714285714,1.0,1.0,1.0,0.9696969696969697,0.9411764705882353,0.7727272727272727,0.8769174391302693,0.2140175066336504,10
