mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.33145577907562257,0.024208902231129932,0.011568546295166016,0.0018706199012079694,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,0.9090909090909091,0.9565217391304348,0.9523809523809523,1.0,1.0,0.9565217391304348,0.96,0.9734515339732731,0.02977338468972531,1
0.39849100112915037,0.03349157179798294,0.016947126388549803,0.00284550749146035,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,0.96,0.8333333333333334,0.9565217391304348,0.9523809523809523,1.0,1.0,0.9090909090909091,0.96,0.957132693393563,0.050024107883279045,2
0.4529521942138672,0.0648936747435633,0.017528843879699708,0.0035782650121070365,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,0.96,0.8333333333333334,0.9565217391304348,0.9523809523809523,1.0,0.9565217391304348,0.9166666666666666,0.96,0.9535424430641821,0.047315397378024565,3
0.6813191890716552,0.0836261444863651,0.027086448669433594,0.002204131047467128,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,0.96,0.8333333333333334,0.9565217391304348,1.0,1.0,0.9565217391304348,0.8571428571428571,0.96,0.9523519668737059,0.056976581831067866,4
2.100162220001221,0.2326868066974415,0.08867366313934326,0.02683407243369344,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,0.7777777777777778,0.8571428571428571,0.9166666666666666,0.9460678210678211,0.07477498734558569,5
0.11702771186828613,0.029242924279855732,0.008863282203674317,0.004504426881153484,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,0.5853658536585366,0.8333333333333334,0.9565217391304348,0.9523809523809523,1.0,1.0,0.96,0.96,0.9247601878503258,0.12265679460645311,6
0.7185826778411866,0.1444333803294661,0.04038617610931396,0.018731065390647113,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.5454545454545454,0.96,0.96,0.8333333333333334,0.9166666666666666,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9166666666666666,0.9045164690382081,0.12809680261496378,7
0.7828038692474365,0.09825275815626389,0.028312873840332032,0.008254108819093862,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.5454545454545454,0.96,0.96,0.8333333333333334,0.9166666666666666,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9166666666666666,0.9045164690382081,0.12809680261496378,7
0.8350731611251831,0.07937098396428982,0.031216692924499512,0.0028059691922778488,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5454545454545454,0.96,0.96,0.8333333333333334,0.9166666666666666,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9166666666666666,0.9045164690382081,0.12809680261496378,7
0.33477468490600587,0.08112662022650398,0.01577918529510498,0.006881272810937846,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.4,1.0,0.8571428571428571,0.88,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9230769230769231,0.96,0.893326325848065,0.1709717268422974,10
0.7710434198379517,0.1150860929495869,0.02775254249572754,0.007140061666762838,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.4067796610169492,0.96,0.96,0.8333333333333334,0.9166666666666666,0.9565217391304348,1.0,1.0,0.9565217391304348,0.9166666666666666,0.8906489805944485,0.16762496864607712,11
0.1474285364151001,0.025199776356295146,0.01128060817718506,0.006106913532570763,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.43636363636363634,1.0,0.8,0.88,0.9565217391304348,1.0,1.0,0.9166666666666666,0.9230769230769231,0.96,0.8872628965237661,0.16166056067795648,12
0.40216479301452634,0.04797155862059967,0.019239592552185058,0.005994044607254252,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.4,0.96,0.8571428571428571,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,0.9565217391304348,0.9166666666666666,0.8840331262939959,0.17061126314776864,13
0.1878584146499634,0.03298055564124267,0.008409619331359863,0.0010467070438032779,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.4067796610169492,1.0,0.7741935483870968,0.88,0.9565217391304348,1.0,1.0,0.8461538461538461,0.8888888888888888,0.96,0.8712537683577217,0.1706011957127341,14
0.1097144603729248,0.018215585179141597,0.00866239070892334,0.004762705471612558,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.4444444444444444,1.0,0.6153846153846154,0.88,0.9565217391304348,0.9523809523809523,1.0,0.9565217391304348,0.9230769230769231,0.96,0.8688330413547805,0.17677350219562252,15
0.38070976734161377,0.06140593742881399,0.012450432777404786,0.0017698570287150851,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.4067796610169492,0.96,0.5581395348837209,0.88,0.9166666666666666,1.0,1.0,1.0,0.9565217391304348,0.88,0.8558107601697771,0.194545746805334,16
0.19547815322875978,0.04409852224686168,0.009599947929382324,0.003899620392502362,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.26373626373626374,1.0,0.6666666666666666,0.88,0.9565217391304348,1.0,1.0,0.8461538461538461,0.8275862068965517,0.96,0.8400664722583763,0.21649332132034826,17
0.4208548069000244,0.10844764562180798,0.018614840507507325,0.012527853718689924,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.4067796610169492,0.9230769230769231,0.5106382978723404,0.88,0.88,1.0,1.0,0.9565217391304348,0.9565217391304348,0.8461538461538461,0.8359692206380928,0.1960843689498863,18
1.7535134315490724,0.28355472911703583,0.07057318687438965,0.015194815257227372,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.5106382978723404,0.96,0.96,0.88,0.88,0.9565217391304348,0.10679611650485436,0.19469026548672566,0.1746031746031746,0.8461538461538461,0.6469403439751376,0.343240372330331,19
1.8338692665100098,0.18593763176662856,0.08333914279937744,0.017362207824462284,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.48,0.5217391304347826,0.96,0.8148148148148148,0.88,0.9565217391304348,0.10679611650485436,0.19469026548672566,0.1746031746031746,0.8148148148148148,0.5903980055789602,0.3217902812672463,20
3.4472540378570558,0.42681009177678475,0.14584000110626222,0.03236169427857304,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.48,0.5217391304347826,0.96,0.8148148148148148,0.88,0.9565217391304348,0.10679611650485436,0.19469026548672566,0.1746031746031746,0.8148148148148148,0.5903980055789602,0.3217902812672463,20
3.803256893157959,0.5992712050691779,0.13695707321166992,0.019411817184628723,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.48,0.5217391304347826,0.96,0.8148148148148148,0.88,0.9565217391304348,0.10679611650485436,0.19469026548672566,0.1746031746031746,0.8148148148148148,0.5903980055789602,0.3217902812672463,20
1.411784791946411,0.2935988255640583,0.062225508689880374,0.017543208995378586,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.48,0.5217391304347826,0.96,0.8148148148148148,0.88,0.9565217391304348,0.10679611650485436,0.19469026548672566,0.1746031746031746,0.8148148148148148,0.5903980055789602,0.3217902812672463,20
1.283717727661133,0.11592475168323782,0.04776151180267334,0.010678932242363562,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.48,0.5217391304347826,0.96,0.8148148148148148,0.88,0.9565217391304348,0.10679611650485436,0.19469026548672566,0.1746031746031746,0.8148148148148148,0.5903980055789602,0.3217902812672463,20
3.534101414680481,0.34981630204490644,0.14419326782226563,0.01278603812525173,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10300429184549356,0.10300429184549356,0.020600858369098713,0.041201716738197426,25
