pose_label,best_kernel,best_C,best_gamma,cv_f1_score
end,rbf,0.1,1,0.9763544891640867
end_present,rbf,0.1,1,0.9736120401337793
home,rbf,0.1,1,0.9734634050496119
next_slide,rbf,0.1,1,1.0
previous_slide,rbf,0.01,1,0.9501242843178327
rotate_down,rbf,0.1,1,0.918254825088624
rotate_left,rbf,0.01,1,0.9176176639367373
rotate_right,rbf,0.1,1,0.9553915869063495
rotate_up,rbf,0.1,1,0.9518747492431704
start_present,rbf,0.01,1,0.973432712215321
zoom_in,rbf,0.1,1,0.9703116926659334
zoom_in_slide,rbf,100.0,1,0.9734515339732731
zoom_out,rbf,0.01,1,0.9525621572989994
zoom_out_slide,rbf,0.1,1,0.9574273095325727
