pose_label,gesture_type,test_samples,positive_samples,imbalance_ratio,search_strategy,best_kernel,best_C,best_gamma,cv_f1_score,test_accuracy,test_precision,test_recall,test_f1_score
end,STATIC,770,30,1:25.7,static_optimized,rbf,1.0,1,0.9663544891640867,0.9961038961038962,0.9655172413793104,0.9333333333333333,0.9491525423728814
end_present,DYNAMIC,770,38,1:20.3,imbalanced_focused,rbf,0.01,1,0.9717993600602297,0.9948051948051948,0.9722222222222222,0.9210526315789473,0.9459459459459459
home,STATIC,770,45,1:17.1,static_optimized,rbf,0.1,1,0.9734634050496119,0.9948051948051948,0.9361702127659575,0.9777777777777777,0.9565217391304348
next_slide,DYNAMIC,770,56,1:13.8,imbalanced_focused,rbf,1.0,1,1.0,1.0,1.0,1.0,1.0
previous_slide,DYNAMIC,770,56,1:13.8,imbalanced_focused,rbf,1.0,1,0.9944444444444445,0.9974025974025974,1.0,0.9642857142857143,0.9818181818181818
rotate_down,DYNAMIC,770,67,1:11.5,imbalanced_focused,rbf,0.1,1,0.9295396327475318,0.9896103896103896,0.9538461538461539,0.9253731343283582,0.9393939393939394
rotate_left,DYNAMIC,770,65,1:11.8,imbalanced_focused,rbf,0.1,1,0.9369596848715842,0.9896103896103896,0.9523809523809523,0.9230769230769231,0.9375
rotate_right,DYNAMIC,770,65,1:11.8,imbalanced_focused,rbf,0.1,1,0.9498448998449,0.990909090909091,0.967741935483871,0.9230769230769231,0.9448818897637795
rotate_up,DYNAMIC,770,66,1:11.7,imbalanced_focused,rbf,0.01,1,0.9283666357350567,0.990909090909091,0.9538461538461539,0.9393939393939394,0.9465648854961832
start_present,DYNAMIC,770,39,1:19.7,imbalanced_focused,rbf,0.01,1,0.963304347826087,0.9961038961038962,0.9736842105263158,0.9487179487179487,0.961038961038961
zoom_in,DYNAMIC,770,65,1:11.8,imbalanced_focused,rbf,0.1,1,0.9627340681370894,0.990909090909091,0.953125,0.9384615384615385,0.9457364341085271
zoom_in_slide,DYNAMIC,770,56,1:13.8,imbalanced_focused,rbf,1.0,auto,0.9971428571428571,1.0,1.0,1.0,1.0
zoom_out,DYNAMIC,770,66,1:11.7,imbalanced_focused,rbf,0.01,1,0.9586909581646423,0.9948051948051948,0.9696969696969697,0.9696969696969697,0.9696969696969697
zoom_out_slide,DYNAMIC,770,56,1:13.8,imbalanced_focused,rbf,0.1,1,1.0,1.0,1.0,1.0,1.0
