instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,next_slide,0,0,0,0,0,0,1,1,1,1,0.5558682680130005,0.8916971683502197,0.7036446928977966,0.876757820447286,0.8170743584632874,0.910858541727066,1,0,0.26120609045028687,0.0
2,next_slide,0,0,0,0,0,0,1,1,1,1,0.5063900947570801,0.8917210400104523,0.6010838945706686,0.8926962614059448,0.7950039505958557,0.9039674699306488,1,0,0.28861385583877563,0.0
3,next_slide,0,0,0,0,0,0,1,1,1,1,0.5130035579204559,0.8926428556442261,0.5978180964787801,0.8807613253593445,0.7826558649539948,0.9039705097675323,1,0,0.2696523070335388,0.0
4,next_slide,0,0,0,0,0,0,1,1,1,1,0.46681711077690125,0.9045210182666779,0.6223140358924866,0.9166311224301656,0.7631497979164124,0.9162271320819855,1,0,0.2963326871395111,0.0
5,next_slide,0,0,0,0,0,0,1,1,1,1,0.4628506451845169,0.9087263941764832,0.5608104467391968,0.8825806379318237,0.7330632507801056,0.874832957983017,1,0,0.2702126055955887,0.0
6,previous_slide,0,0,0,0,0,0,1,1,1,1,0.8055731058120728,0.8758730590343475,0.7169059117635092,0.8629785974820455,0.519958108663559,0.8996122479438782,1,0,-0.2856149971485138,0.0
7,previous_slide,0,0,0,0,0,0,1,1,1,1,0.8056292533874512,0.920882374048233,0.6701332728068033,0.8786768118540446,0.49337829649448395,0.9080686569213867,1,0,-0.3122509568929672,0.0
8,previous_slide,0,0,0,0,0,0,1,1,1,1,0.8289280533790588,0.877506822347641,0.7302973667780558,0.8441603581110636,0.476733461022377,0.8811471164226532,1,0,-0.3521945923566818,0.0
9,previous_slide,0,0,0,0,0,0,1,1,1,1,0.8215385675430298,0.9184775352478027,0.6789699196815491,0.8910929361979166,0.4798831045627594,0.922792911529541,1,0,-0.3416554629802704,0.0
10,previous_slide,0,0,0,0,0,0,1,1,1,1,0.8192925751209259,0.8843116462230682,0.7342141469319662,0.866022527217865,0.4299757182598114,0.8993216156959534,1,0,-0.3893168568611145,0.0
11,zoom_out_slide,0,0,0,0,0,0,1,1,1,1,0.731480211019516,0.9336537718772888,0.7198368708292643,0.780034343401591,0.6889478266239166,0.6227132380008698,0,1,0.0,-0.31094053387641907
12,zoom_out_slide,0,0,0,0,0,0,1,1,1,1,0.6987132132053375,1.0345291495323181,0.7151617010434469,0.8934982617696127,0.6835305392742157,0.6165491938591003,0,1,0.0,-0.4179799556732178
13,zoom_out_slide,0,0,0,0,0,0,1,1,1,1,0.7437970340251923,1.0340123772621155,0.7384175658226013,0.8886033693949381,0.6946423053741455,0.6417549848556519,0,1,0.0,-0.3922573924064636
14,zoom_out_slide,0,0,0,0,0,0,1,1,1,1,0.7119128406047821,1.0645101070404053,0.7233380675315857,0.8988639116287231,0.6896036267280579,0.6316721737384796,0,1,0.0,-0.43283793330192566
15,zoom_out_slide,0,0,0,0,0,0,1,1,1,1,0.7117745578289032,1.0467695593833923,0.7326457897822062,0.8583648999532064,0.7232740819454193,0.6457209885120392,0,1,0.0,-0.40104857087135315
