instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,main_axis_x,main_axis_y,delta_x,delta_y
1,end,0,0,0,0,0,0,0,0,0,1,1,0,-0.0001223981380462,0.0
2,end_present,0,0,0,0,0,1,1,1,1,1,1,0,-0.1149142533540725,0.0
3,home,0,0,0,0,0,1,0,0,0,0,1,0,4.1037797927856445e-05,0.0
4,next_slide,0,0,0,0,0,0,1,1,0,0,1,0,0.1894827485084533,0.0
5,previous_slide,0,0,0,0,0,0,1,1,0,0,1,0,-0.2638420760631561,0.0
6,rotate_down,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.2617712020874023
7,rotate_left,0,0,0,0,0,1,1,0,0,0,1,0,-0.2039719820022583,0.0
8,rotate_right,0,0,0,0,0,1,1,0,0,0,1,0,0.1992542743682861,0.0
9,rotate_up,0,0,0,0,0,1,1,0,0,0,0,1,0.0,-0.2254938036203384
10,start_present,0,0,0,0,0,1,1,1,1,1,1,0,0.1158757507801055,0.0
11,zoom_in,0,0,0,0,0,1,1,1,0,0,0,1,0.0,-0.3583151251077652
12,zoom_in_slide,0,0,0,0,0,0,1,1,0,0,0,1,0.0,-0.1667674928903579
13,zoom_out,0,0,0,0,0,1,1,1,0,0,0,1,0.0,0.0709550380706787
14,zoom_out_slide,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.1899888962507248
