instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6290221415301124,0.45015935698828813,0.6215858853810069,0.5367132985640802,0.6031034662527667,0.6212756304305082,0.015792128155073915,1.007674347291529,-0.007308743859349522,0.19098360043585966
2,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6194208230718754,0.44688470246429746,0.6175286227156603,0.502350197553422,0.5881958216748697,0.6179941247075903,-0.010128311203344238,1.0031424733259526,-0.01169424075521211,0.1714349629866471
3,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6387114876892156,0.44928423699513464,0.6157842820468793,0.5072355181378655,0.6000011727547482,0.6247262258970986,-0.011509935774223028,1.0037569801834567,-0.008620386899188051,0.18264106250206724
4,rotate_down,0,0,0,0,0,1,1,0,0,0,0.618037933877706,0.4700647818450894,0.6149740277526207,0.510905890710441,0.6136704491210319,0.6114085635002897,0.0020886359500475542,0.9804032987612022,-0.015895860488984306,0.18752661235869122
5,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6314396657999541,0.4532556828118997,0.6139525171761177,0.5184719630441071,0.5906597800963257,0.6164185579160529,-0.004606387709597875,1.0105712222621892,0.000822182895684614,0.16792759844637267
6,rotate_down,0,0,0,0,0,1,1,0,0,0,0.627295839693948,0.44769117719583684,0.6083397799969404,0.5275997628884087,0.6157549952249595,0.6329298011911619,-0.008392175232226386,0.9969078762414878,0.0006986343140356396,0.1953134512712236
7,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6192632576215471,0.44968541023336184,0.6040456502599397,0.5095209337591933,0.613570258223942,0.6371794002857082,-0.0007201012158033385,1.0100353289789203,0.0010023602504763414,0.17910680245394875
8,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6276689560550842,0.46692236566465967,0.6147507396089005,0.53712943655814,0.5792475489591026,0.6318360250437522,0.0008704706823817123,0.9970099264953414,-0.001696392234644977,0.16568231085399107
9,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6218582811216249,0.4551131257151175,0.6298879404474151,0.5163002978172636,0.5973600639710681,0.6185994295641546,0.009154021177020742,1.0032875110965969,-0.007911602037670388,0.19069067433113357
10,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6250257754934805,0.4612284499053289,0.6080884690612265,0.5182063785340223,0.6015239184686785,0.6089818505186788,0.0029612027706457608,1.002610552721799,-0.002562865433575391,0.18321212866624853
11,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6099012925794959,0.4473355467723464,0.6116818548347324,0.5134602273077838,0.60383214288334,0.6276575085681454,0.0188618590121053,1.0017457781283183,-3.849609277235648e-05,0.18481354084233834
12,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6048672878470096,0.4512768612455078,0.6157113020994103,0.5461154211248529,0.6035213903521888,0.6266324734233361,-0.0003471176970524331,0.9883132196238047,0.008814228145150206,0.19307733032686775
13,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6319653194704304,0.4424481254520526,0.629136943109361,0.5074644893720772,0.6113135709380028,0.6455215562580998,-0.009905363251306884,0.9943370227039723,-0.0016174863491235877,0.180523243458838
14,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6085483656893387,0.45222762974806024,0.6044859628627389,0.5262189243063519,0.596250757657662,0.6391163440501754,-0.00783253292336237,0.9967793848379433,0.005521172173696697,0.17324935683566045
15,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6263295993460413,0.4646134275428243,0.5990341676543878,0.523329338585323,0.6080438279424842,0.6314352287177731,-0.01236950710878082,0.9867954338691572,0.0026054156561689766,0.18852784673233186
16,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6265599285034588,0.45500648209496974,0.6083087527842151,0.52380553697161,0.6083757247329868,0.6164734858197363,0.018657745111447566,1.0047383292091179,-0.014527034972026487,0.1921235360863383
17,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6143081832977269,0.4594128460374245,0.6266949557900741,0.513276176816483,0.6150787612924432,0.6277448092693649,0.0082206015999449,1.0189679298265395,-0.005067881160028705,0.1780206383564251
18,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6151598557037448,0.4433838971503456,0.614337982905859,0.5248945197481665,0.6082119079933002,0.6318888324903602,0.0001300189187790702,1.0145353407715731,-0.005260568332379561,0.2127596916658962
19,rotate_down,0,0,0,0,0,1,1,0,0,0,0.63031167347765,0.4429704244358372,0.6044000750193889,0.5263077241524319,0.6032103721467414,0.6307570049409209,0.004732376245735448,0.9992717108734313,-0.01108193718068405,0.17040952775314136
20,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6195898504793298,0.4601059879432347,0.6172499374413021,0.5090256122128801,0.6071768092585118,0.6274701737972883,-0.00883857436201133,1.0015372510594553,-0.0020319128155400013,0.17412829702169377
