pose_label,best_kernel,best_C,best_gamma,cv_f1_score
end,rbf,0.1,1,0.9724458204334365
end_present,rbf,0.1,1,0.9786231884057971
home,rbf,0.1,1,0.9704375162845927
next_slide,rbf,0.1,1,0.9533562002513616
previous_slide,rbf,0.1,1,0.9910599078341015
rotate_down,rbf,0.1,1,0.9390313869710532
rotate_left,rbf,0.1,1,0.9229966510454316
rotate_right,rbf,0.1,1,0.9547000818053449
rotate_up,rbf,0.1,1,0.95620780704221
start_present,rbf,0.1,auto,0.9548389870998566
zoom_in,rbf,0.1,1,0.9667605598093403
zoom_in_slide,rbf,0.01,1,0.9635136457745153
zoom_out,rbf,0.01,1,0.9693355778015599
zoom_out_slide,rbf,10.0,1,0.9650848861283645
