instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,home,1,0,0,0,0,0,0,0,0,0,0.6665672361850739,0.8756633102893829,0.6555086374282837,0.8882323304812113,0.6268126368522644,0.9063039124011992,1,0,-0.0397545993328094,0.0
2,home,0,0,0,0,0,1,0,0,0,0,0.6285965740680695,0.3995715528726578,0.6238445043563843,0.3993128836154938,0.6203422844409943,0.3968938738107681,1,0,-0.0082542896270751,0.0
3,home,0,0,0,0,0,1,0,0,0,0,0.624759167432785,0.3976013660430908,0.621847927570343,0.3960126638412475,0.6198549866676331,0.3943620324134826,1,0,-0.0049041807651519,0.0
4,home,0,0,0,0,0,1,0,0,0,0,0.621843546628952,0.3924212157726288,0.6216639479001363,0.3942302862803141,0.6199741661548615,0.3912992775440216,1,0,-0.0018693804740905,0.0
5,home,0,0,0,0,0,1,0,0,0,0,0.6218264698982239,0.387405589222908,0.6210259199142456,0.3853959143161773,0.6203195452690125,0.3813448846340179,0,1,0.0,-0.00606070458889
6,home,0,0,0,0,0,1,0,0,0,0,0.6223493218421936,0.3803134709596634,0.6206585367520651,0.378229667743047,0.6211120784282684,0.3798367381095886,1,0,-0.0012372434139251,0.0
7,home,0,0,0,0,0,1,0,0,0,0,0.5624188780784607,0.5161645710468292,0.5600933829943339,0.5138752857844034,0.5591444075107574,0.5130445063114166,1,0,-0.0032744705677032,0.0
8,home,0,0,0,0,0,1,0,0,0,0,0.5597855448722839,0.5133339762687683,0.5600120226542155,0.5133400360743204,0.5601397752761841,0.5123375654220581,0,1,0.0,-0.0009964108467102
9,home,0,0,0,0,0,1,0,0,0,0,0.5592812299728394,0.5132016539573669,0.5597374041875204,0.5132261514663696,0.5602127015590668,0.5123323500156403,1,0,0.0009314715862274,0.0
10,home,0,0,0,0,0,1,0,0,0,0,0.5595195293426514,0.5123446583747864,0.5596410234769186,0.5123841166496277,0.5594783425331116,0.5118392109870911,0,1,0.0,-0.0005054473876953
11,home,0,0,0,0,0,1,0,0,0,0,0.5584903061389923,0.5120887756347656,0.5584087371826172,0.5113502542177836,0.5588513314723969,0.5103276073932648,0,1,0.0,-0.0017611682415008
12,home,0,0,0,0,0,1,0,0,0,0,0.5615562200546265,0.5104480683803558,0.5611234903335571,0.5104066332181295,0.5613463819026947,0.5098057985305786,0,1,0.0,-0.0006422698497772
13,home,1,0,0,0,0,1,0,0,0,0,0.3276004493236542,0.4409117549657821,0.3277898331483205,0.439705491065979,0.3260149508714676,0.4372956305742264,0,1,0.0,-0.0036161243915557
14,home,0,0,0,0,0,1,0,0,0,0,0.3221434354782104,0.436608538031578,0.3215963741143544,0.435085117816925,0.3224397301673889,0.434922993183136,0,1,0.0,-0.001685544848442
15,home,0,0,0,0,0,1,0,0,0,0,0.3207962363958359,0.434340626001358,0.318004051844279,0.431979884703954,0.3171875774860382,0.430754154920578,1,0,-0.0036086589097976,0.0
