pose_label,gesture_type,test_samples,positive_samples,imbalance_ratio,search_strategy,best_kernel,best_C,best_gamma,cv_f1_score,test_accuracy,test_precision,test_recall,test_f1_score
end,STATIC,383,25,1:15.3,static_optimized,rbf,100.0,0.01,0.9682352941176472,0.9947780678851175,0.9259259259259259,1.0,0.9615384615384616
home,STATIC,383,24,1:16.0,static_optimized,rbf,0.1,1,0.9866666666666667,0.9921671018276762,1.0,0.875,0.9333333333333333
next_slide,DYNAMIC,383,62,1:6.2,imbalanced_focused,rbf,0.1,0.1,1.0,1.0,1.0,1.0,1.0
previous_slide,DYNAMIC,383,32,1:12.0,imbalanced_focused,rbf,100.0,0.01,0.9829721362229102,0.9921671018276762,0.967741935483871,0.9375,0.9523809523809523
rotate_down,DYNAMIC,383,40,1:9.6,imbalanced_focused,rbf,1.0,auto,0.9277345697780479,0.9765013054830287,0.918918918918919,0.85,0.8831168831168831
rotate_left,DYNAMIC,383,40,1:9.6,imbalanced_focused,rbf,0.1,1,0.9362415120001326,0.97911227154047,0.8809523809523809,0.925,0.9024390243902439
rotate_right,DYNAMIC,383,40,1:9.6,imbalanced_focused,rbf,0.1,1,0.946448851597593,0.9895561357702349,0.95,0.95,0.95
rotate_up,DYNAMIC,383,40,1:9.6,imbalanced_focused,rbf,100.0,0.01,0.9425244755244755,0.9843342036553525,0.9473684210526315,0.9,0.9230769230769231
zoom_in,DYNAMIC,383,40,1:9.6,imbalanced_focused,rbf,100.0,0.1,0.9715605103431191,1.0,1.0,1.0,1.0
zoom_out,DYNAMIC,383,40,1:9.6,imbalanced_focused,rbf,100.0,1,0.9526451664277751,0.9869451697127938,0.9069767441860465,0.975,0.9397590361445783
