instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,home,1,0,0,0,0,0,0,0,0,0,0.6665672361850739,0.8756633102893829,0.6555086374282837,0.8882323304812113,0.6268126368522644,0.9063039124011993,1,0,-0.03975459933280945,0.0
2,home,0,0,0,0,0,1,0,0,0,0,0.6285965740680695,0.3995715528726578,0.6238445043563843,0.3993128836154938,0.6203422844409943,0.3968938738107681,1,0,-0.008254289627075195,0.0
3,home,0,0,0,0,0,1,0,0,0,0,0.624759167432785,0.3976013660430908,0.621847927570343,0.39601266384124756,0.6198549866676331,0.39436203241348267,1,0,-0.0049041807651519775,0.0
4,home,0,0,0,0,0,1,0,0,0,0,0.621843546628952,0.3924212157726288,0.6216639479001363,0.39423028628031415,0.6199741661548615,0.3912992775440216,1,0,-0.0018693804740905762,0.0
5,home,0,0,0,0,0,1,0,0,0,0,0.6218264698982239,0.387405589222908,0.6210259199142456,0.38539591431617737,0.6203195452690125,0.38134488463401794,0,1,0.0,-0.006060704588890076
6,home,0,0,0,0,0,1,0,0,0,0,0.6223493218421936,0.3803134709596634,0.6206585367520651,0.37822966774304706,0.6211120784282684,0.3798367381095886,1,0,-0.001237243413925171,0.0
7,home,0,0,0,0,0,1,0,0,0,0,0.5624188780784607,0.5161645710468292,0.5600933829943339,0.5138752857844034,0.5591444075107574,0.5130445063114166,1,0,-0.003274470567703247,0.0
8,home,0,0,0,0,0,1,0,0,0,0,0.5597855448722839,0.5133339762687683,0.5600120226542155,0.5133400360743204,0.5601397752761841,0.5123375654220581,0,1,0.0,-0.000996410846710205
9,home,0,0,0,0,0,1,0,0,0,0,0.5592812299728394,0.5132016539573669,0.5597374041875204,0.5132261514663696,0.5602127015590668,0.5123323500156403,1,0,0.000931471586227417,0.0
10,home,0,0,0,0,0,1,0,0,0,0,0.5595195293426514,0.5123446583747864,0.5596410234769186,0.5123841166496277,0.5594783425331116,0.5118392109870911,0,1,0.0,-0.0005054473876953125
11,home,0,0,0,0,0,1,0,0,0,0,0.5584903061389923,0.5120887756347656,0.5584087371826172,0.5113502542177836,0.5588513314723969,0.5103276073932648,0,1,0.0,-0.0017611682415008545
12,home,0,0,0,0,0,1,0,0,0,0,0.5615562200546265,0.5104480683803558,0.5611234903335571,0.5104066332181295,0.5613463819026947,0.5098057985305786,0,1,0.0,-0.0006422698497772217
13,home,1,0,0,0,0,1,0,0,0,0,0.3276004493236542,0.44091175496578217,0.3277898331483205,0.439705491065979,0.3260149508714676,0.4372956305742264,0,1,0.0,-0.003616124391555786
14,home,0,0,0,0,0,1,0,0,0,0,0.32214343547821045,0.43660853803157806,0.32159637411435443,0.43508511781692505,0.3224397301673889,0.434922993183136,0,1,0.0,-0.0016855448484420776
15,home,0,0,0,0,0,1,0,0,0,0,0.3207962363958359,0.43434062600135803,0.318004051844279,0.43197988470395404,0.3171875774860382,0.430754154920578,1,0,-0.0036086589097976685,0.0
16,home,0,0,0,0,0,1,0,0,0,0,0.31802868843078613,0.4327055811882019,0.317696213722229,0.43080268303553265,0.3174400329589844,0.43294985592365265,1,0,-0.0005886554718017578,0.0
17,home,1,0,0,0,0,1,0,0,0,0,0.3163921684026718,0.4294057935476303,0.3147665162881215,0.42793219288190204,0.31414245069026947,0.4292537271976471,1,0,-0.0022497177124023438,0.0
18,home,0,0,0,0,0,1,0,0,0,0,0.31308552622795105,0.4291667342185974,0.31251855691274005,0.43024298548698425,0.3122469484806061,0.42841836810112,1,0,-0.0008385777473449707,0.0
19,home,1,0,0,0,0,1,0,0,0,0,0.8369097113609314,0.40429767966270447,0.8378711342811584,0.40389816959698993,0.8389565646648407,0.40249334275722504,1,0,0.0020468533039093018,0.0
20,home,0,0,0,0,0,1,0,0,0,0,0.8417212963104248,0.3990136384963989,0.8413195610046387,0.3981067140897115,0.8423154354095459,0.3990316092967987,1,0,0.0005941390991210938,0.0
21,home,1,0,0,0,0,1,0,0,0,0,0.8439998924732208,0.40019591152668,0.8438137372334799,0.3990567723910014,0.843924880027771,0.3992844223976135,0,1,0.0,-0.0009114891290664673
22,home,1,0,0,0,0,1,0,0,0,0,0.846976637840271,0.397446945309639,0.8462203741073608,0.39671769738197327,0.8464307188987732,0.39833787083625793,0,1,0.0,0.0008909255266189575
23,home,1,0,0,0,0,1,0,0,0,0,0.8469115495681763,0.397169828414917,0.8472684423128763,0.3977341254552205,0.8479048907756805,0.39809784293174744,1,0,0.0009933412075042725,0.0
24,home,1,0,0,0,0,1,0,0,0,0,0.8521094620227814,0.39712777733802795,0.8528810739517212,0.3969063460826874,0.8530475199222565,0.39745762944221497,1,0,0.0009380578994750977,0.0
25,home,1,0,0,0,0,1,0,0,0,0,0.5894623398780823,0.4173223078250885,0.5889849265416464,0.41392863790194195,0.5883356332778931,0.4143677204847336,0,1,0.0,-0.0029545873403549194
26,home,0,0,0,0,0,1,0,0,0,0,0.5875602960586548,0.41395652294158936,0.5869553486506144,0.41105227669080097,0.5870544910430908,0.41221320629119873,0,1,0.0,-0.001743316650390625
27,home,1,0,0,0,0,1,0,0,0,0,0.5890117883682251,0.4125560224056244,0.5888106822967529,0.41064321001370746,0.5887675881385803,0.4093838036060333,0,1,0.0,-0.0031722187995910645
28,home,1,0,0,0,0,1,0,0,0,0,0.5882653594017029,0.4108536094427109,0.587378184000651,0.4090552230676015,0.5862376093864441,0.4097949415445328,1,0,-0.002027750015258789,0.0
29,home,0,0,0,0,0,1,0,0,0,0,0.5868824422359467,0.4088907390832901,0.5867138306299845,0.409718135992686,0.5873831212520599,0.40908315777778625,1,0,0.0005006790161132812,0.0
30,home,0,0,0,0,0,1,0,0,0,0,0.5881471335887909,0.4105106145143509,0.5890388886133829,0.40936710437138873,0.589388906955719,0.4082643985748291,0,1,0.0,-0.0022462159395217896
31,home,1,0,0,0,0,1,0,0,0,0,0.5949015319347382,0.5196626782417297,0.5954376260439554,0.5197530388832092,0.5959632098674774,0.5199156701564789,1,0,0.0010616779327392578,0.0
32,home,1,0,0,0,0,1,0,0,0,0,0.597771018743515,0.5211297273635864,0.5978373885154724,0.5207045276959738,0.5977462232112885,0.5202710032463074,0,1,0.0,-0.0008587241172790527
33,home,1,0,0,0,0,1,0,0,0,0,0.5995355844497681,0.5214825868606567,0.597582221031189,0.5207695563634237,0.5967893302440643,0.5206707417964935,1,0,-0.0027462542057037354,0.0
34,home,1,0,0,0,0,1,0,0,0,0,0.5967135429382324,0.5001654475927353,0.5958315928777059,0.5013660589853922,0.5956657230854034,0.5018191635608673,0,1,0.0,0.001653715968132019
35,home,1,0,0,0,0,1,0,0,0,0,0.5954551100730896,0.5031518042087555,0.5951713522275289,0.5033259590466818,0.5948719680309296,0.5026406049728394,1,0,-0.0005831420421600342,0.0
36,home,1,0,0,0,0,1,0,0,0,0,0.5081153810024261,0.6213275194168091,0.508134663105011,0.6224353313446045,0.5075938403606415,0.623492956161499,0,1,0.0,0.0021654367446899414
37,home,1,0,0,0,0,1,0,0,0,0,0.5046946704387665,0.6227961182594299,0.5052897334098816,0.62257452805837,0.5055060684680939,0.6232799291610718,1,0,0.0008113980293273926,0.0
38,home,1,0,0,0,0,1,0,0,0,0,0.5060335397720337,0.6245735287666321,0.5061768492062887,0.623586098353068,0.5060839653015137,0.6239442527294159,0,1,0.0,-0.0006292760372161865
39,home,1,0,0,0,0,1,0,0,0,0,0.5069434940814972,0.6217136681079865,0.5065329869588217,0.6225800514221191,0.5060756206512451,0.6219997107982635,1,0,-0.0008678734302520752,0.0
40,home,1,0,0,0,0,1,0,0,0,0,0.5078684687614441,0.6211334466934204,0.507453441619873,0.6218396226565043,0.5066551268100739,0.6216518878936768,1,0,-0.0012133419513702393,0.0
41,home,1,0,0,0,0,1,0,0,0,0,0.25414253771305084,0.5721750259399414,0.25319746136665344,0.5730463067690531,0.25220561027526855,0.5727242231369019,1,0,-0.0019369274377822876,0.0
42,home,1,0,0,0,0,1,0,0,0,0,0.2548638880252838,0.5721937716007233,0.2546273171901703,0.5710632999738058,0.2535662055015564,0.5710041224956512,1,0,-0.001297682523727417,0.0
43,home,1,0,0,0,0,1,0,0,0,0,0.2472703829407692,0.5674322843551636,0.2452766795953115,0.5672311584154764,0.24447749555110931,0.566424697637558,1,0,-0.0027928873896598816,0.0
44,home,1,0,0,0,0,1,0,0,0,0,0.24125327914953232,0.5660533010959625,0.23950040340423584,0.566191037495931,0.24006076157093048,0.5678921043872833,0,1,0.0,0.0018388032913208008
45,home,1,0,0,0,0,1,0,0,0,0,0.2375466302037239,0.5659215152263641,0.2369766334692637,0.566240668296814,0.23736192286014557,0.5654453337192535,0,1,0.0,-0.0004761815071105957
46,home,1,0,0,0,0,1,0,0,0,0,0.8834403157234192,0.5617398619651794,0.8883945743242899,0.5625335574150085,0.8904075920581818,0.5621321499347687,1,0,0.006967276334762573,0.0
47,home,1,0,0,0,0,1,0,0,0,0,0.8917495906352997,0.5645099878311157,0.8889449834823608,0.5647552808125814,0.8855971693992615,0.5653921663761139,1,0,-0.006152421236038208,0.0
48,home,1,0,0,0,0,1,0,0,0,0,0.8813967108726501,0.5651731193065643,0.8807028532028198,0.5657663742701212,0.8789368271827698,0.5652102530002594,1,0,-0.002459883689880371,0.0
49,home,1,0,0,0,0,1,0,0,0,0,0.8777540624141693,0.5649554133415222,0.875715990861257,0.5646053751309713,0.8744811713695526,0.5632098615169525,1,0,-0.0032728910446166992,0.0
50,home,1,0,0,0,0,1,0,0,0,0,0.8750019073486328,0.5631941258907318,0.8747893571853638,0.5627963145573934,0.8747022747993469,0.5624000132083893,0,1,0.0,-0.0007941126823425293
51,home,1,0,0,0,0,1,0,0,0,0,0.5706029832363129,0.49633845686912537,0.569445530573527,0.4937792917092641,0.5691001117229462,0.4952201098203659,1,0,-0.0015028715133666992,0.0
