instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_down,0,0,0,0,0,1,1,0,0,0,0.624055,0.451542,0.615109,0.521483,0.605445,0.623617,0.0,1.0,-0.002614,0.185558
2,rotate_left,0,0,0,0,0,1,1,0,0,0,0.700592,0.521203,0.609221,0.515263,0.530381,0.504322,1.0,0.0,-0.130413,-0.005325
3,zoom_in,0,0,0,0,0,1,1,1,0,0,0.579149,0.588623,0.594609,0.479239,0.593111,0.427196,0.0,1.0,0.0,-0.168766
4,rotate_right,0,0,0,0,0,1,1,0,0,0,0.519356,0.513941,0.59543,0.5103,0.650029,0.523184,1.0,0.0,0.117388,0.04424
5,zoom_out,0,0,0,0,0,1,1,1,0,0,0.586247,0.461246,0.583464,0.54286,0.574318,0.653507,0.0,1.0,-0.062817,0.191093
6,home,0,0,0,0,0,1,0,0,0,0,0.589237,0.487445,0.588898,0.486901,0.588259,0.487556,1.0,0.0,-0.002603,0.002198
7,rotate_up,0,0,0,0,0,1,1,0,0,0,0.609287,0.579126,0.61273,0.484454,0.611311,0.393994,0.0,1.0,-0.093339,-0.186964
8,zoom_out,0,0,0,0,0,1,1,1,0,0,0.580882,0.462916,0.578011,0.566692,0.577518,0.63534,0.0,1.0,-0.004737,0.191027
9,previous_slide,0,0,0,0,0,0,1,1,0,0,0.673277,0.505762,0.559976,0.498925,0.499317,0.508579,1.0,0.0,-0.15216,-0.016298
10,next_slide,0,0,0,0,0,0,1,1,0,0,0.551511,0.489961,0.628375,0.486376,0.695994,0.489401,1.0,0.0,0.116381,0.00673
11,rotate_up,0,0,0,0,0,1,1,0,0,0,0.595199,0.572145,0.600411,0.482625,0.594791,0.424163,0.0,1.0,-0.131676,-0.157988
12,rotate_right,0,0,0,0,0,1,1,0,0,0,0.586712,0.540446,0.655759,0.537791,0.731273,0.541573,1.0,0.0,0.113417,-0.0005
13,rotate_left,0,0,0,0,0,1,1,0,0,0,0.685305,0.499015,0.617699,0.489509,0.530096,0.483337,1.0,0.0,-0.139405,0.0
14,end,0,0,0,0,0,0,0,0,0,1,0.616981,0.431811,0.615352,0.429471,0.614736,0.430074,1.0,0.0,-0.002566,-0.002014
15,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5657445192337036,1.0400691032409668,0.7835619648297628,0.9774515628814696,0.887138694524765,1.053915023803711,1.0,0.0,0.3213941752910614,0.0
16,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5459001267390257,1.0,0.7683154693209134,0.9545713269050535,0.8952605787330472,1.0,0.998907433687897,0.04673263231468491,0.32668589339905346,0.0
17,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5714332776027379,1.0,0.7562332429411628,0.9503539969407224,0.8567409200664731,1.0,0.9991168864302272,0.04201722563388041,0.3097047618650114,0.0
18,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5307977499186651,1.0,0.7814821222976301,0.961619343191939,0.8744953686721413,1.0,0.9996754447410936,0.02547558010520334,0.2781119507675545,0.0
19,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5393168209745405,1.0,0.7678134941023722,0.9991947341354741,0.9040156084388035,1.0,0.9965559506104803,-0.08292308064008506,0.31560958394391836,0.0
